Divisor,Animals,Furniture,Car,Fruit,Country,Color,Job,Sport,City,Technology,MusicGenre
1,Lion,Chair,Mazda,Apple,Poland,Red,Doctor,Football,Warsaw,AI,Rock
2,Elephant,Table,BMW,Banana,Germany,Blue,Engineer,Basketball,Berlin,Cloud,Jazz
3,Tiger,Sofa,Audi,Orange,France,Green,Teacher,Tennis,Paris,Blockchain,Classical
4,Giraffe,Bed,Toyota,Pear,Italy,Yellow,Designer,Volleyball,Rome,IoT,Pop
5,Zebra,Desk,Honda,Grape,Spain,Black,Programmer,Running,Madrid,Big Data,Electronic
6,Monkey,Wardrobe,Ford,Mango,Portugal,White,Analyst,Cycling,Lisbon,DevOps,Hip-Hop
7,Bear,Shelf,Opel,Peach,Norway,Gray,Manager,Swimming,Oslo,AR,Metal
8,Wolf,Drawer,Skoda,Plum,Sweden,Purple,Consultant,Boxing,Stockholm,VR,Blues
9,Fox,Stool,Volvo,Kiwi,Finland,Brown,Writer,Skiing,Helsinki,Robotics,Folk
10,Dog,Armchair,Mercedes,Cherry,Denmark,Orange,Journalist,Handball,Copenhagen,Cybersecurity,Indie
11,Cat,Couch,Peugeot,Lemon,Belgium,Pink,Artist,Golf,Brussels,Data Science,Alternative
12,Horse,Nightstand,Renault,Pineapple,Netherlands,Teal,Architect,Rugby,Amsterdam,Machine Learning,Ambient
13,Cow,Bench,Citroen,Melon,Austria,Gold,Lawyer,Rowing,Vienna,NLP,Opera
14,Sheep,Bookcase,Nissan,Apricot,Switzerland,Silver,Accountant,Fencing,Bern,Computer Vision,Soundtrack
15,Goat,Sideboard,Kia,Fig,Czechia,Navy,Auditor,Climbing,Prague,Edge Computing,Punk
16,Deer,TV Stand,Hyundai,Coconut,Slovakia,Beige,Economist,Skating,Bratislava,Quantum Computing,Techno
17,Rabbit,Cabinet,Subaru,Avocado,Hungary,Maroon,Researcher,Judo,Budapest,Automation,House
18,Panda,Rocking Chair,Jeep,Guava,Japan,Indigo,Scientist,Karate,Tokyo,Digital Twin,J-Pop
19,Kangaroo,High Chair,Tesla,Blueberry,USA,Cyan,Data Analyst,Baseball,New York,Autonomous Systems,Rap
20,Koala,Folding Chair,Chevrolet,Raspberry,Canada,Olive,Statistician,Hockey,Toronto,Smart Cities,Country
